payment_id,order_id,paid_on,amount,method
1,1,2023-01-12,4275.0,wallet
2,2,2023-02-02,1900.0,upi
3,4,2023-01-11,12825.0,upi
4,6,2023-02-07,1950.0,upi
5,7,2023-02-03,51500.0,card
6,8,2023-02-23,118195.0,upi
7,9,2023-02-14,28950.0,upi
8,10,2023-02-14,198000.0,upi
9,11,2023-02-14,13600.0,upi
10,12,2023-02-26,35530.0,upi
11,13,2023-03-08,450.0,card
12,16,2023-03-24,215100.0,upi
13,17,2023-03-08,31050.0,netbanking
14,18,2023-03-13,6800.0,netbanking
15,19,2023-03-03,141100.0,card
16,20,2023-04-08,56000.0,card
17,21,2023-04-24,67500.0,upi
18,22,2023-04-23,30800.0,upi
19,23,2023-04-17,166355.0,upi
20,24,2023-04-27,19500.0,netbanking
21,25,2023-04-06,151660.0,upi
22,26,2023-04-05,95355.0,card
23,27,2023-04-25,152320.0,card
24,28,2023-05-24,950.0,upi
25,29,2023-05-31,7600.0,card
26,30,2023-05-04,13600.0,netbanking
27,31,2023-05-08,72850.0,cod
28,32,2023-05-24,11800.0,card
29,33,2023-05-03,335300.0,netbanking
30,35,2023-06-25,116800.0,upi
31,37,2023-06-10,56000.0,upi
32,38,2023-06-28,108360.0,upi
33,39,2023-06-04,22800.0,card
34,40,2023-06-23,149850.0,upi
35,41,2023-06-10,152900.0,upi
36,42,2023-06-04,86000.0,card
37,43,2023-06-28,45600.0,upi
38,44,2023-06-07,139400.0,card
39,45,2023-07-14,38300.0,card
40,47,2023-07-29,6620.0,card
41,48,2023-07-12,43010.0,wallet
42,49,2023-07-05,285600.0,cod
43,51,2023-09-02,24880.0,card
44,52,2023-08-10,4410.0,upi
45,53,2023-08-06,52135.0,card
46,54,2023-08-20,241000.0,upi
47,56,2023-08-24,160700.0,card
48,57,2023-08-11,59900.0,upi
49,58,2023-08-13,86080.0,upi
50,59,2023-08-08,26900.0,upi
51,60,2023-08-12,191200.0,upi
52,61,2023-08-31,81210.0,upi
53,62,2023-08-21,22840.0,upi
54,63,2023-08-31,24750.0,card
55,64,2023-09-23,35950.0,upi
56,65,2023-09-16,92400.0,card
57,66,2023-09-24,78770.0,upi
58,67,2023-09-15,7600.0,netbanking
59,68,2023-09-14,34060.0,upi
60,69,2023-09-12,60220.0,upi
61,70,2023-09-30,1350.0,cod
62,71,2023-09-27,71960.0,upi
63,72,2023-09-14,11500.0,card
64,73,2023-09-17,126000.0,upi
65,75,2023-10-15,18900.0,netbanking
66,76,2023-10-29,2800.0,upi
67,77,2023-10-09,75000.0,card
68,78,2023-10-11,1852.5,card
69,79,2023-10-19,24300.0,card
70,80,2023-10-18,34950.0,upi
71,82,2023-10-09,101800.0,upi
72,83,2023-10-29,900.0,upi
73,84,2023-10-11,51750.0,upi
74,85,2023-11-02,9600.0,upi
75,87,2023-11-01,31147.5,cod
76,88,2023-10-20,51305.0,netbanking
77,89,2023-11-19,145300.0,netbanking
78,90,2023-11-28,37100.0,upi
79,91,2023-11-14,32000.0,card
80,93,2023-11-01,13500.0,card
81,94,2023-11-30,90850.0,card
82,95,2023-11-30,22800.0,netbanking
83,96,2023-11-05,145300.0,card
84,98,2023-11-27,60080.0,cod
85,99,2023-11-08,78625.0,wallet
86,100,2023-11-16,111625.0,upi
87,103,2023-11-02,70550.0,cod
88,104,2023-12-19,20980.0,upi
89,105,2023-12-01,33600.0,card
90,106,2023-12-07,54400.0,upi
91,107,2023-12-28,14600.0,wallet
92,108,2023-12-23,76755.0,card
93,109,2023-12-15,142300.0,cod
94,110,2023-12-14,3200.0,upi
95,111,2024-01-03,170200.0,netbanking
96,112,2024-01-02,41300.0,netbanking
97,113,2023-12-13,24500.0,upi
98,114,2023-12-22,127800.0,card
99,115,2023-12-14,43880.0,wallet
100,117,2024-01-22,25655.0,upi
101,118,2024-02-01,14630.0,upi
102,119,2024-01-08,92985.0,upi
103,120,2024-01-30,257900.0,card
104,121,2024-01-03,2800.0,upi
105,122,2024-01-25,3600.0,upi
106,123,2024-01-18,13320.0,upi
107,125,2024-02-19,16600.0,upi
108,126,2024-02-18,15800.0,upi
109,128,2024-02-04,30600.0,upi
110,129,2024-02-03,12825.0,card
111,130,2024-02-11,112605.0,card
112,132,2024-02-09,1800.0,card
113,133,2024-03-02,33340.0,upi
114,135,2024-03-09,6460.0,cod
115,136,2024-04-01,112810.0,card
116,137,2024-03-26,855.0,netbanking
117,139,2024-04-02,52700.0,upi
118,140,2024-03-19,76000.0,netbanking
119,141,2024-03-10,40845.0,upi
120,142,2024-03-26,3200.0,upi
121,143,2024-03-16,89100.0,upi
122,144,2024-03-13,51005.0,card
123,145,2024-03-27,12600.0,upi
124,146,2024-03-11,428410.0,card
125,147,2024-04-01,72900.0,card
126,148,2024-04-15,12150.0,card
127,149,2024-04-24,1300.0,upi
128,150,2024-04-05,13600.0,upi
129,152,2024-04-16,141400.0,upi
130,153,2024-04-08,70200.0,upi
131,154,2024-05-25,84100.0,wallet
132,155,2024-05-27,1600.0,upi
133,157,2024-05-17,38000.0,upi
134,158,2024-05-08,77400.0,netbanking
135,159,2024-05-18,108000.0,card
136,160,2024-05-10,24500.0,upi
137,161,2024-05-03,8600.0,card
