order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,15,1,4500.0,0.05
2,2,17,2,950.0,0.0
3,3,5,1,142000.0,0.0
4,3,15,3,4500.0,0.1
5,3,24,2,2900.0,0.0
6,4,9,1,13500.0,0.05
7,5,29,2,56000.0,0.0
8,6,34,1,1950.0,0.0
9,7,22,1,650.0,0.0
10,7,40,1,26500.0,0.1
11,7,6,1,27000.0,0.0
12,8,19,3,4900.0,0.15
13,8,7,1,48000.0,0.0
14,8,4,1,54000.0,0.05
15,8,30,1,6400.0,0.0
16,9,20,1,3600.0,0.0
17,9,17,1,950.0,0.0
18,9,9,1,13500.0,0.0
19,9,39,1,10900.0,0.0
20,10,5,1,142000.0,0.0
21,10,29,1,56000.0,0.0
22,11,12,2,6800.0,0.0
23,12,16,3,7600.0,0.05
24,12,32,2,7300.0,0.05
25,13,21,1,450.0,0.0
26,14,1,5,62000.0,0.0
27,15,21,5,450.0,0.0
28,15,38,1,2800.0,0.0
29,15,20,1,3600.0,0.0
30,15,26,5,11800.0,0.0
31,16,5,1,142000.0,0.05
32,16,37,1,15400.0,0.0
33,16,28,1,38000.0,0.1
34,16,35,1,34000.0,0.1
35,17,13,3,11500.0,0.1
36,18,12,1,6800.0,0.0
37,19,7,2,48000.0,0.0
38,19,13,1,11500.0,0.0
39,19,31,3,11200.0,0.0
40,20,29,1,56000.0,0.0
41,21,9,5,13500.0,0.0
42,22,37,2,15400.0,0.0
43,23,14,3,18900.0,0.0
44,23,24,1,2900.0,0.05
45,23,7,1,48000.0,0.0
46,23,1,1,62000.0,0.05
47,24,18,1,2400.0,0.0
48,24,20,5,3600.0,0.05
49,25,35,1,34000.0,0.0
50,25,7,2,48000.0,0.0
51,25,16,3,7600.0,0.05
52,26,14,1,18900.0,0.05
53,26,36,1,86000.0,0.1
54,27,26,1,11800.0,0.1
55,27,12,1,6800.0,0.0
56,27,5,1,142000.0,0.05
57,28,17,1,950.0,0.0
58,29,16,1,7600.0,0.0
59,30,12,2,6800.0,0.0
60,31,22,1,650.0,0.0
61,31,28,2,38000.0,0.05
62,32,26,1,11800.0,0.0
63,33,4,1,54000.0,0.05
