order_id,customer_id,order_date,status,channel,employee_id
1,34,2023-01-10,delivered,app,
2,25,2023-01-30,delivered,web,
3,6,2023-01-26,placed,web,
4,54,2023-01-10,shipped,store,10
5,22,2023-02-10,cancelled,web,
6,13,2023-02-04,delivered,web,
7,14,2023-02-01,delivered,web,
8,27,2023-02-21,delivered,phone,7
9,9,2023-02-14,delivered,phone,5
10,38,2023-02-12,shipped,web,
11,18,2023-02-14,delivered,web,
12,33,2023-02-23,delivered,app,
13,43,2023-03-08,delivered,store,10
14,34,2023-03-29,returned,app,
15,9,2023-03-17,cancelled,web,
16,19,2023-03-23,delivered,app,
17,31,2023-03-05,delivered,web,
18,27,2023-03-11,delivered,web,
19,59,2023-03-01,placed,store,8
20,9,2023-04-06,delivered,store,14
21,19,2023-04-22,delivered,app,
22,48,2023-04-22,delivered,store,8
23,2,2023-04-16,delivered,web,
24,52,2023-04-25,delivered,store,8
25,34,2023-04-04,delivered,web,
26,28,2023-04-03,shipped,web,
27,48,2023-04-25,shipped,web,
28,9,2023-05-22,delivered,app,
29,25,2023-05-28,delivered,app,
30,53,2023-05-03,delivered,web,
31,58,2023-05-08,delivered,app,
32,13,2023-05-23,delivered,web,
33,7,2023-05-01,delivered,web,
34,30,2023-06-15,placed,phone,14
35,10,2023-06-23,shipped,store,10
36,18,2023-06-03,cancelled,store,5
37,27,2023-06-10,delivered,web,
38,50,2023-06-28,delivered,web,
39,34,2023-06-01,delivered,phone,5
40,51,2023-06-23,delivered,app,
41,43,2023-06-09,delivered,web,
42,38,2023-06-02,delivered,web,
43,19,2023-06-26,placed,app,
44,42,2023-06-07,delivered,web,
45,9,2023-07-12,delivered,store,9
46,9,2023-07-24,placed,app,
47,3,2023-07-27,placed,app,
48,28,2023-07-09,shipped,app,
49,59,2023-07-03,placed,phone,7
50,9,2023-07-23,cancelled,phone,5
51,31,2023-08-30,delivered,app,
52,14,2023-08-10,delivered,app,
53,50,2023-08-05,delivered,phone,7
54,14,2023-08-17,delivered,web,
55,2,2023-08-31,returned,app,
56,42,2023-08-21,placed,web,
57,9,2023-08-09,delivered,web,
58,9,2023-08-13,delivered,web,
59,40,2023-08-07,delivered,app,
60,43,2023-08-11,delivered,web,
61,59,2023-08-28,shipped,web,
62,15,2023-08-21,delivered,web,
63,45,2023-08-29,delivered,web,
64,38,2023-09-23,delivered,store,7
65,47,2023-09-16,delivered,app,
66,47,2023-09-24,shipped,app,
67,8,2023-09-14,delivered,store,9
68,20,2023-09-12,shipped,phone,6
69,2,2023-09-10,placed,web,
70,12,2023-09-27,shipped,app,
71,27,2023-09-27,delivered,web,
72,32,2023-09-11,placed,app,
73,12,2023-09-17,placed,phone,7
74,46,2023-09-27,returned,store,9
75,48,2023-10-15,delivered,web,
76,24,2023-10-27,delivered,app,
77,59,2023-10-08,delivered,app,
78,37,2023-10-11,delivered,store,7
79,18,2023-10-19,delivered,phone,7
80,52,2023-10-18,shipped,web,
81,24,2023-10-03,placed,app,
82,14,2023-10-07,delivered,web,
83,8,2023-10-26,shipped,web,
84,10,2023-10-09,delivered,web,
85,28,2023-10-31,delivered,web,
86,48,2023-10-13,placed,app,
87,14,2023-10-30,delivered,app,
88,59,2023-10-17,delivered,web,
89,34,2023-11-16,delivered,phone,6
90,17,2023-11-28,delivered,app,
91,2,2023-11-13,delivered,web,
92,25,2023-11-07,cancelled,store,8
93,28,2023-11-01,delivered,app,
94,18,2023-11-27,shipped,web,
95,6,2023-11-27,delivered,web,
96,50,2023-11-02,delivered,web,
97,19,2023-11-20,placed,app,
98,8,2023-11-27,shipped,app,
99,27,2023-11-08,delivered,app,
100,3,2023-11-16,delivered,store,8
101,47,2023-11-15,returned,store,5
102,12,2023-11-06,placed,store,10
103,43,2023-11-01,delivered,app,
104,6,2023-12-18,delivered,app,
105,27,2023-12-01,delivered,store,6
106,40,2023-12-06,shipped,app,
107,12,2023-12-27,delivered,app,
108,34,2023-12-21,delivered,web,
109,32,2023-12-12,delivered,store,9
110,34,2023-12-11,placed,app,
111,43,2023-12-31,delivered,web,
112,18,2023-12-31,placed,app,
113,59,2023-12-10,delivered,web,
114,34,2023-12-19,delivered,web,
115,39,2023-12-13,delivered,web,
116,42,2024-01-26,cancelled,web,
117,3,2024-01-21,delivered,web,
118,50,2024-01-31,delivered,web,
119,33,2024-01-05,shipped,web,
120,25,2024-01-30,delivered,store,8
121,24,2024-01-01,delivered,store,9
122,9,2024-01-25,delivered,store,7
123,14,2024-01-17,shipped,phone,10
124,56,2024-01-10,placed,app,
125,6,2024-02-17,delivered,web,
126,59,2024-02-15,delivered,web,
127,52,2024-02-28,placed,store,15
128,6,2024-02-03,placed,web,
129,18,2024-02-01,delivered,app,
130,47,2024-02-09,delivered,app,
131,13,2024-02-11,cancelled,app,
132,52,2024-02-06,shipped,app,
133,25,2024-03-01,shipped,store,5
134,11,2024-03-18,placed,phone,5
135,18,2024-03-08,shipped,app,
136,15,2024-03-31,delivered,web,
137,58,2024-03-26,delivered,web,
138,38,2024-03-07,placed,app,
139,18,2024-03-31,delivered,store,9
140,25,2024-03-16,delivered,app,
141,53,2024-03-08,shipped,web,
142,10,2024-03-26,delivered,web,
143,17,2024-03-13,shipped,app,
144,13,2024-03-12,shipped,web,
145,15,2024-03-24,delivered,store,15
146,36,2024-03-11,delivered,app,
147,2,2024-03-30,placed,web,
148,8,2024-04-14,delivered,web,
149,31,2024-04-24,placed,web,
150,15,2024-04-02,delivered,app,
151,33,2024-04-17,returned,store,9
152,33,2024-04-14,shipped,app,
153,18,2024-04-06,shipped,web,
154,19,2024-05-25,delivered,phone,5
155,44,2024-05-26,delivered,web,
156,57,2024-05-22,cancelled,web,
157,9,2024-05-14,placed,web,
158,35,2024-05-07,shipped,phone,7
159,36,2024-05-17,delivered,phone,14
160,51,2024-05-07,shipped,store,7
161,43,2024-05-01,delivered,web,
162,51,2024-05-09,cancelled,app,
163,6,2024-05-04,placed,app,
164,17,2024-05-09,delivered,store,10
165,1,2024-05-12,delivered,web,
166,52,2024-05-03,shipped,web,
167,6,2024-05-21,shipped,store,14
168,2,2024-05-21,delivered,web,
169,57,2024-05-04,delivered,phone,8
170,17,2024-05-07,delivered,app,
171,34,2024-05-08,delivered,store,7
172,13,2024-06-19,placed,web,
173,47,2024-06-25,placed,app,
174,17,2024-06-18,delivered,store,7
175,19,2024-06-09,shipped,store,9
176,3,2024-06-03,delivered,web,
177,59,2024-06-26,delivered,web,
178,42,2024-06-15,delivered,web,
179,49,2024-06-25,cancelled,app,
180,32,2024-06-13,delivered,phone,5
181,19,2024-06-13,shipped,store,7
182,59,2024-06-01,returned,app,
183,6,2024-06-03,placed,web,
184,59,2024-07-11,returned,app,
185,9,2024-07-28,shipped,app,
186,29,2024-07-27,shipped,app,
187,14,2024-07-29,delivered,app,
188,18,2024-07-16,shipped,app,
189,8,2024-07-26,cancelled,app,
190,59,2024-07-29,delivered,web,
191,19,2024-07-05,shipped,store,10
192,38,2024-07-14,delivered,web,
193,48,2024-07-06,delivered,web,
194,59,2024-07-22,delivered,web,
195,1,2024-07-25,delivered,phone,7
196,43,2024-07-27,delivered,app,
197,44,2024-07-24,delivered,store,8
198,17,2024-07-17,delivered,web,
199,12,2024-07-18,delivered,web,
200,22,2024-07-13,delivered,phone,5
201,44,2024-07-24,delivered,app,
202,44,2024-08-23,delivered,web,
203,59,2024-08-13,returned,store,14
204,10,2024-08-21,placed,store,9
205,15,2024-08-08,delivered,app,
206,49,2024-08-29,delivered,web,
207,13,2024-08-22,returned,app,
208,27,2024-08-26,delivered,web,
209,33,2024-08-10,delivered,web,
210,33,2024-08-20,delivered,app,
211,13,2024-08-10,delivered,store,7
212,6,2024-08-18,shipped,web,
213,9,2024-08-09,placed,store,10
214,58,2024-08-25,returned,app,
215,1,2024-08-28,delivered,store,15
216,31,2024-08-30,delivered,phone,7
217,31,2024-08-11,delivered,app,
218,53,2024-08-26,delivered,web,
219,12,2024-09-07,delivered,store,15
220,54,2024-09-03,cancelled,app,
221,52,2024-09-18,returned,web,
222,10,2024-09-16,delivered,web,
223,1,2024-09-21,shipped,app,
224,47,2024-09-22,delivered,app,
225,38,2024-09-02,shipped,phone,5
226,47,2024-09-01,delivered,store,6
227,8,2024-09-29,delivered,store,5
228,6,2024-09-17,shipped,app,
229,24,2024-09-04,delivered,app,
230,36,2024-09-12,placed,web,
231,28,2024-09-08,cancelled,store,8
232,6,2024-09-01,delivered,store,14
233,24,2024-09-19,returned,store,7
234,56,2024-09-20,delivered,web,
235,6,2024-10-21,delivered,store,7
236,2,2024-10-22,cancelled,app,
237,6,2024-10-21,cancelled,app,
238,17,2024-10-21,delivered,app,
239,59,2024-10-15,delivered,app,
240,52,2024-10-10,delivered,store,14
241,29,2024-10-02,delivered,store,10
242,48,2024-10-30,delivered,store,14
243,57,2024-10-03,shipped,app,
244,52,2024-10-26,shipped,web,
245,59,2024-10-11,delivered,web,
246,59,2024-10-10,placed,web,
247,27,2024-10-11,delivered,web,
248,52,2024-10-07,delivered,store,10
249,37,2024-10-31,delivered,web,
250,27,2024-10-22,shipped,phone,8
251,2,2024-10-12,delivered,app,
252,25,2024-11-06,delivered,web,
253,6,2024-11-20,returned,web,
254,6,2024-11-14,delivered,app,
255,15,2024-11-11,placed,app,
256,47,2024-11-27,delivered,store,5
257,6,2024-11-06,shipped,store,14
258,2,2024-11-19,placed,web,
259,36,2024-11-26,cancelled,store,8
260,33,2024-11-23,delivered,app,
261,6,2024-11-18,delivered,phone,9
262,37,2024-11-19,shipped,store,15
263,34,2024-11-13,delivered,phone,6
264,6,2024-11-16,delivered,store,10
265,34,2024-11-09,delivered,web,
266,15,2024-11-10,returned,web,
267,30,2024-11-22,shipped,web,
268,27,2024-11-10,delivered,web,
269,59,2024-11-26,shipped,web,
270,59,2024-11-09,delivered,web,
271,45,2024-11-26,delivered,app,
272,6,2024-11-14,returned,store,7
273,44,2024-11-07,delivered,web,
274,43,2024-11-17,delivered,web,
275,6,2024-11-08,returned,phone,7
276,6,2024-11-10,cancelled,phone,10
277,47,2024-12-31,placed,app,
278,43,2024-12-04,delivered,store,15
279,13,2024-12-31,delivered,app,
280,25,2024-12-15,delivered,phone,15
281,59,2024-12-28,delivered,app,
282,52,2024-12-05,delivered,app,
283,27,2024-12-29,placed,phone,15
284,17,2024-12-18,placed,phone,9
285,27,2024-12-31,shipped,web,
286,18,2024-12-25,delivered,store,10
287,49,2024-12-17,shipped,app,
288,42,2024-12-27,cancelled,web,
289,15,2024-12-10,delivered,phone,8
290,22,2024-12-05,delivered,web,
291,52,2024-12-11,delivered,app,
292,12,2024-12-24,delivered,web,
293,15,2024-12-09,placed,app,
294,54,2024-12-01,delivered,store,8
295,9,2024-12-07,shipped,app,
296,19,2024-12-03,returned,store,6
297,58,2024-12-03,delivered,app,
298,34,2024-12-09,delivered,app,
299,17,2024-12-23,delivered,web,
300,47,2024-12-05,shipped,web,
